Solution_Quality,Solution_Allocation,AVG_Exploration,AVG_Exploitation
9.564689237243831e-13,"[[ 2.76381553  1.49194187 -0.94403207  1.23605108  3.51035375  0.32727373
  -1.06300451  2.75858347  1.44928779  0.9179743  -2.87649081  0.84001711
   0.8039722   1.21799631  1.12195412 -0.85437467  0.5421165   0.97202492
  -0.7286784   0.97135402  1.46866947  3.56014573  1.15968737  1.23831074
   1.17576929  2.85716886  1.11994847  2.65601655 -2.46504134  1.45542078
  -1.33713949  1.21052787 -1.57344605  1.1915612   0.46271115  1.09821024
   0.93703283  0.60257637  1.89898512 -0.14397679  1.73760875  1.34928038
   0.06862815 -0.80167632  1.1728072   2.49745652  1.04474163 -1.51509994
   1.3562909  -0.12830616]]",0.3947069383603246,0.6052930616396754
2.788275178357102e-11,"[[-1.88860736e-01  7.12849936e-01  2.44926990e+00  2.76294379e+00
  -6.45480198e-01  5.62946656e-01  3.01686341e-01  2.90863107e-01
   7.90633371e-01 -1.61612666e+00 -4.08488355e-01 -1.09638282e+00
   1.29930754e+00 -2.86603549e+00 -8.86824968e-01  2.77733135e+00
   3.43780668e-01 -5.07349097e-01  1.76189271e+00  6.02195750e-01
   5.15986153e+00 -1.07112198e+00 -1.83903176e-02  4.34734005e-03
   5.79108811e-02 -1.04749204e+00  3.68934319e-01  1.02136624e+00
   3.70658005e+00 -1.72338723e-01  1.29408906e+00  1.25404683e+00
   5.95587308e-01 -9.45572154e-01  9.03329935e-01  4.46643714e+00
   3.70074804e+00  1.31255389e+00 -2.15011733e-01 -3.26986804e-01
  -1.46477491e+00 -9.92913817e-01  1.19872935e+00  9.92048630e-01
   1.07422885e+00  1.27577036e+00 -7.41967928e-01 -6.15155562e-01
  -1.04285109e+00 -1.23180755e+00]]",0.2320339968264209,0.7679660031735789
6.449615942310831e-13,"[[ 1.3031007   1.23523824 -0.06548498  0.9773298   0.43526096  0.37036151
  -1.2763065   0.16340596 -1.00914618 -0.41998022 -1.04095161 -0.5991338
  -0.04599213 -0.84052205 -0.83358187  1.39937332  1.24373776  1.11001681
  -0.06115843  1.48080233  0.98034019 -1.02203504  0.44672777  1.20317681
  -1.2940815   1.38165542  1.15742653  1.01703334  0.10930546  0.59855431
   1.03569665  1.65195225 -0.89841933  1.02344444  1.41850007  1.36456288
   0.66832242 -0.91726713  1.02563213  0.81993018 -0.94554756 -1.15551834
   1.31431656  1.02982275 -0.49478827  0.23191135  0.77997573  0.40777679
  -0.73221497 -1.42172608]]",0.22254956778168086,0.7774504322183192
1.3668620144247982e-13,"[[ 2.80556958  1.07657882  0.35175015 -0.04283474  1.35520474 -1.16253641
   0.72373837  1.01108464  3.6871285  -0.65238858  1.11974382  1.08133781
  -1.11463154  1.29270496  0.83363697  1.35475262  0.34415808  0.16206977
   2.85389347 -0.58422317 -0.93787696  1.33020529 -0.3775948   1.44829305
   1.21838811  1.20439224  0.89261819 -1.23195098  0.74955267  0.35431233
  -0.0175783  -0.95855378  3.75712718 -1.15980027 -1.35807717 -0.58011705
  -1.29351484  0.89531291  1.41778536 -1.33770536  1.45011842  0.8316392
   1.19030477  0.75928161  0.21811005 -1.19981597  0.21676503 -0.37661422
  -2.7406905   1.70767041]]",0.30358581136573887,0.6964141886342611
2.36896427911216e-13,"[[-0.87407874 -0.01811897 -0.87306556  0.72764647 -1.12214943  1.24377254
   0.69627557 -0.91048927  0.84430037  0.70255567  1.09693431 -1.07138724
   1.29244109 -1.23998634 -0.86171767  1.26071681  3.7269687   0.74770568
  -0.57022888  2.70963388 -1.45062005  1.59869122  0.79373491 -0.67511961
   1.2405602   1.11055563 -1.31555163  2.87460117  1.5654693   0.30552637
  -2.80837399 -1.28502257  1.54772422 -0.66166807  1.25544166 -0.78374649
   1.47977283 -0.93021114  2.63188418 -0.21476736 -0.61810412  0.35016614
  -1.19325596 -1.75488872  2.61263425  0.98641075  1.78776542 -0.63573543
  -0.87135721  1.34142338]]",0.17560595795942116,0.8243940420405788
4.920725791467697e-13,"[[ 1.15375465  1.12791849  1.05003839 -0.94402064  1.62284615 -0.92513369
  -0.94905807 -3.70482226 -0.16532974  4.54025262  1.53867146  0.30137549
   2.80187497  0.77735616 -2.52909727  1.03792165  3.676735   -1.17572711
  -0.9095377   1.25055579 -5.69993198  0.16731231  3.83180131  0.53159605
  -3.80551381 -1.23336485 -1.45063397  0.5875959  -2.34839996 -1.54132416
  -5.17810763  1.06599159  2.5442325   1.01458003 -4.48186817 -1.45209218
   0.93946498 -3.12676911 -2.8413461   0.9297736   0.99900118  6.23593035
  -0.73982348 -3.74454257  0.27056299  2.73796902  1.31544333  0.38106547
  -4.46050377  0.33479957]]",0.6753073471017741,0.32469265289822596
2.024825346785826e-10,"[[ 2.69362148e+00  1.11550106e+00  1.04137097e+00  2.77210708e+00
   2.52283596e+00  7.55395603e-01  1.26984619e+00 -3.89807101e-01
   2.38110108e+00 -1.91699921e-03 -1.04822522e-01 -4.86593289e-01
  -2.79621662e+00 -8.49075638e-01  2.63067446e+00  1.68776005e+00
   8.49498140e-01  1.56161312e+00  1.77315271e+00 -4.45642787e-01
   1.84908329e-01 -2.67134939e+00  5.09291373e-01  9.77163269e-01
   8.90671294e-01 -2.83346465e+00  3.68216332e+00 -8.37204786e-01
  -2.42318254e-01 -7.13200630e-01  3.88274251e-02  8.71101242e-01
   1.41857929e+00  1.16375599e+00  3.74652065e+00  1.43767038e+00
  -8.20281416e-01  2.33581106e-01  8.01289281e-01 -8.32785057e-01
  -7.50708585e-01 -1.28533225e+00  1.12959563e+00  2.80883130e+00
   4.53525306e-01  1.30762334e+00  2.59569753e+00 -9.56932805e-01
   4.66960691e-01  2.35305390e+00]]",0.13783702481336946,0.8621629751866305
1.6196750013795965e-11,"[[ 1.15222038  0.814354    1.18053246 -0.06863672 -3.78986772 -1.35433164
  -0.73106969  1.16784019 -0.19700188  0.4605788   0.04532589  1.05138992
  -1.50244915  1.48194371  0.79700499  2.81773097  0.55092644  1.03849157
  -3.49071741 -3.4007383   2.86838937  0.84169538 -6.21669074  3.62882651
   0.75522788  1.30151122  1.53124809 -1.33502121  1.14581676 -1.06972843
   1.42501719  1.00769223 -0.71354084  1.01237906 -2.6465529   1.60625744
  -1.06348079  0.6553819   1.01346482  1.73192796 -0.51276802  5.65571958
   0.13795389  1.5966381   1.18619078 -0.0604419   0.16612092  1.36353827
   0.97101416 -0.12224887]]",0.28745051063446836,0.7125494893655316
1.4805208772744875e-13,"[[-1.09634683  3.70323947 -0.80677904 -0.90761049 -0.97428653 -1.30944269
   0.59647976  1.31828506  1.84010243  1.43177733 -1.39939911  2.69282875
   1.48306884 -0.86113381 -2.66363852  2.51342745  1.55443892 -1.44431315
   1.05441506  1.0214147   2.73120875  1.26451071 -0.66220657 -0.91364227
  -1.07545317 -1.30386526  1.09253387  1.40760961  1.43917732  1.84731065
  -1.14068863 -1.08229604  1.63600436  1.09541747  1.56800752  0.81333219
   0.63365064 -0.5616187   2.68502617  1.23366444 -2.77861731  0.29481325
  -1.24223281  1.95320012  1.09904212  0.94921257 -0.47660835  1.12834804
  -0.59764701  1.66662284]]",0.3639816542372591,0.636018345762741
6.392721875340757e-11,"[[-0.58862189 -0.15684522 -0.91482429  0.88003038  1.195665   -0.37018904
  -1.09005441  1.13654646 -1.17551519  0.22386491 -0.76160861  1.4935142
  -0.11641651  1.72323082 -0.45595188 -0.81970331  1.31404895  0.96410916
  -0.61540405 -0.1991605   0.55089951 -0.67699118  1.28355399 -0.93684341
   1.12547846  1.19569459  1.69268103  1.21258118 -0.12490456  1.37704988
   1.12624777  0.85876464 -0.56439819  0.25313595  0.74267413  0.50359719
  -0.16021396  0.56662735  0.76993063 -0.52089284  1.42179846  0.22739359
  -1.43909682  1.32111426  0.26742773  1.52201225  0.81681363  1.44093277
   0.3300916   1.35134678]]",0.26690233970808735,0.7330976602919127
1.3335918249523898e-15,"[[ 1.08199079  1.49963651 -1.16793653  0.28626361 -0.85058237  0.86985122
  -0.96505022 -1.11563121  1.41929286  1.2791542   2.62855893 -0.76789252
   1.47135428  2.95056385 -1.04557803  1.11927627 -1.16678265  1.76095336
   4.47242095 -1.20027145  5.16528536 -1.00200132  1.31417172  0.32832121
  -1.01089326 -4.53999754 -0.55499028  1.20516151  1.53146321  0.55397776
   0.68210334  0.73047985  1.16780357  1.03222345 -3.72611575  0.05533779
   0.53863038  1.08176986  1.2468299   1.16924414  1.20958767 -4.54190886
  -1.16958849  2.79859934  0.96748496  1.24195913  1.5537507   1.24981107
   2.75302455  1.22586313]]",0.3072779458521076,0.6927220541478925
1.9504343936633678e-11,"[[ 3.64820562  2.72210548  0.4644075  -1.64914113 -0.53490855 -1.65652996
   2.49383863  0.1673986   0.6372056   1.24499232 -1.49901443  0.91884525
  -0.55333072 -1.33506655  1.1536196   1.38706854 -1.30989421  1.20033363
   1.1460623  -0.81680944 -1.69344041  2.83004     3.79007448  1.64675788
  -3.72188079  1.67440813 -2.65154445  0.89046562  1.34271399  0.89783598
   0.81051979  4.474671    1.44261379  1.58128336 -0.16036564 -0.13769034
  -0.85781973  0.20505717  0.78423862 -0.11476409  1.22149163 -0.93065349
   0.9965048   1.58364584 -0.33161356  1.88094649 -1.48910457 -3.53902427
  -0.63181339 -1.18697194]]",0.233597150707507,0.7664028492924928
7.807674239662364e-10,"[[ 1.11343198  0.78210305 -1.16432773  2.82236106 -1.37456246  2.53436203
   4.41961449 -0.4795604   0.84427686  1.2095145   1.25298639  1.60617063
  -4.9506193   2.7388654   6.23296994 -0.041955    2.74808132 -2.20027326
  -0.08240633 -0.36388816 -1.89955632 -0.08385706 -0.24359148  0.90225058
   1.18892145  1.03489797 -1.24061368  1.36803966 -3.089633   -0.98863881
   0.65524206 -2.89390714  0.81915381  3.12978356  6.25457732  2.69606496
  -1.18963261  0.66646004  1.53194432  1.0372691   1.45308853  5.75918328
   1.55745599  2.88081921  0.9841977  -0.54691882 -0.69996899 -0.87384663
  -2.05356364  3.16327742]]",0.26823637995416383,0.7317636200458363
7.50036252785396e-12,"[[-0.80193493 -2.74039104  4.24201849  2.64668126  0.21678595 -1.05030147
   1.13805459 -1.17631917  5.74762517  4.95892262  1.09213423  0.52499625
  -0.81238882  0.40308134  0.86220795  1.0472381   1.96601561  3.77744859
  -1.02918933  0.79684627  3.14238224  1.40179464  0.8657768   1.64377434
   1.37850272  2.71225999 -1.21626636 -1.50116392  0.52736347  1.21565581
  -0.86865168 -1.17704234 -1.00106618  0.75874177  0.95734016  2.54942478
  -0.99250741  3.81994454 -1.09432582 -0.81957528  3.80686619  0.42463185
  -1.07719414  1.20731145  1.23709636  2.37520568  0.36163968  1.00133858
   3.67663262 -1.01273042]]",0.3011059709889769,0.698894029011023
3.797733140662183e-09,"[[ 0.96695879  1.59363703  2.96000323 -1.11604782 -3.84616147 -3.68335287
  -1.89323947 -2.61355743 -0.79649354 -1.00381355  1.02530141 -0.79513182
   0.09091386 -2.85256095  3.66923154 -1.83713199 -1.22638725  1.68704561
  -4.40808926  1.88521499  0.54301677 -0.45876626  1.45340194 -0.56359973
  -1.12559275 -3.76422142  0.90267615 -3.64721252 -0.05501268 -1.00210204
   0.57597531 -0.08428421 -2.34990339 -1.66786346 -0.79700992 -0.95569355
  -1.42775468 -1.14292263 -2.66048687 -0.27466148 -0.4065195   1.19741535
   0.21208188 -1.5025275   0.11127423 -0.05836615 -0.21342321  3.01060081
  -1.45536617 -0.19723958]]",0.47938240957846534,0.5206175904215347
3.0082051981568454e-14,"[[-1.45113746 -1.17499001 -0.99809996 -1.19206762 -0.04464459 -1.39053209
  -1.63685492 -1.05272788  1.14096173  1.24838953 -1.36004262  1.53162963
   1.17982157 -4.43862474 -0.8826502  -1.51432541 -0.37901902 -3.67905459
   1.10582609 -1.31944178 -0.41434904  1.64372699 -0.58528823 -2.78942215
  -3.6880712   1.11488673  1.12760302 -1.35058203  0.54666535 -0.69087179
   1.1970218  -0.409288   -2.88123949 -2.63408563 -0.24262113  1.04143841
  -2.801655   -1.71968836 -2.69680864  0.67711488 -1.33600635 -1.3060423
  -3.52812664  1.25436603 -0.90165458  1.03077457  3.81620339  1.07344209
   1.04181246  2.53859336]]",0.4885908290308304,0.5114091709691696
3.501857835835705e-09,"[[ 3.70777896  4.49172382  0.04795946 -1.52523818  0.99948942 -3.70178309
   2.2186905   0.94912418  0.34364794 -1.35017811 -0.50854517 -0.70388543
   0.81569711 -0.4513539   3.70952111  0.82222965  1.9219662  -2.2520621
  -0.87189044  3.70786528  1.69160968 -1.45908882  2.41167657 -3.45756068
   1.00495021 -2.83858656  1.54139821 -2.9695148   0.99332684 -0.22622074
  -0.65611623 -3.66870699  4.46895431 -1.59447217 -1.20329487 -0.37749796
  -2.35324616  0.34228648  2.60061169  0.45208437  0.29095266  3.82887249
  -1.03858494 -0.82033839  1.12412817 -1.20461729 -5.70979341  1.52875222
   2.95621015 -3.67972256]]",0.3846374110805677,0.6153625889194323
6.906643536556713e-10,"[[-4.24211408  2.90973883 -3.01180484 -2.64420345  1.23638558 -1.02118295
  -2.41114374  1.08661731 -0.64617159  0.17903976 -3.31320168  1.47554542
   2.68531774 -1.44849025  0.68887827  2.80142503 -0.09845722  3.63190386
  -1.12723254 -0.65447523 -1.45145301 -0.31596825 -3.9237749   0.50442108
   1.01503285 -3.8426573  -4.49928528 -1.72102173 -2.69094854  3.63033807
   0.70642488  0.85794411 -0.10140626  2.90405128  2.4502842   3.53655178
  -0.7290284  -1.49415891  4.5185744   0.30675575 -1.17719486  1.42948313
   1.24258858  3.64447382 -1.35249143 -3.54667269  2.82454775  1.16661729
  -0.0103116  -0.8341098 ]]",0.3638221225607767,0.6361778774392234
