Solution_Quality,Solution_Allocation,AVG_Exploration,AVG_Exploitation
47217532.828652404,"[[  4.09569613  32.90539857  -6.59710586 -47.61610755 -13.21221753
   37.04959674  39.85289855   6.13101489  31.7960761  -75.77658655
   66.83885277  10.15976193 -28.26576397  49.59207571  -6.39875272
    5.68054251  15.28716634  74.90884083  19.49920073  55.93609235
  -11.21380761  11.71363608  33.18467812  50.58600962 -22.77767297
  -15.77036096  25.84015342  34.65581982 -13.64919806  45.66685524
   18.78912039 -28.22377367  11.71006252  -5.67019729  20.10120598
   34.88518809  21.1509806   46.46367381  36.17062809  19.61327158
   39.42789162  -4.25922166  -6.92838361 -63.87211283 -40.72069695
   19.15814423 -23.32431406 -24.91214167  33.47996444  17.27353769]]",0.6753007919386146,0.32469920806138547
43843889.043706916,"[[  7.56685736  15.1099562  -17.2086777  -53.21257884 -39.16816338
  -10.76209709  60.43295992   4.85524746 -31.12172975 -12.55876327
   57.76644899  35.39523959  39.10383616  43.66353433  27.83424014
   14.03071556  26.76991673  11.52374236   3.18586229  11.5231867
  -32.10806248  26.37281062  38.80476954  18.1638529   52.41299621
   -1.46070065 -28.34149668  25.8298147  -69.52189296 -64.28108467
  -40.35372652  74.45546684  -5.41980926 -14.36548094  39.88472234
   82.85858992  27.46815973 -18.44230168  34.07659231   9.69561968
   62.43188893  -6.80079544 -21.004556   -40.01782513 -68.71104763
   34.20172247  -2.33958035 -48.31535561   9.05614418 -36.34533045]]",0.6714202830250134,0.32857971697498656
51515553.91521627,"[[-38.97024856  76.76646644  35.78328219   8.47443191  16.09534971
  -80.07023211  -7.72868802  -6.57730195  22.21233711  54.3667948
  -67.83079757 -22.81972713 -20.92610628  45.10335559  63.45957829
  -25.07709687  10.15754276  -5.19969784  -1.06584558  12.976401
    6.27940757  21.48317922  44.20917562 -33.36500489 -25.0670877
   37.81100821  36.20896768  16.95966352 -15.23126365 -29.47978891
  -27.66241868 -17.11473329  57.85907688 -33.58713072  80.49377348
   15.74926994  52.13545166  24.39248187   1.86444568  -1.95806664
   40.93584079  46.37906253  37.16359221 -54.9678499  -56.91492415
   21.37373395   7.52118781   9.82777459   4.30353177  -8.17806093]]",0.4790907851706638,0.5209092148293363
34422125.56716746,"[[-58.37657293   9.49351025  56.91555326  30.11783578  12.95909456
   11.64910356 -49.35708968  51.33755164  -0.4993034  -63.78111365
  -49.58762509   0.36821877  47.80542562  41.23991795  10.16184143
  -59.55573407 -82.66862044  47.87274452  -6.4787136  -45.90344291
  -65.22164159  32.22972967  89.1681164  -54.23006789  37.05499129
   30.92045772  40.42612649  28.89413261 -20.45905337 -20.5517622
  -14.98549753  21.63051047  31.43903777 -34.52227873  39.68495832
   11.94970771  66.49067308 -43.71447008  40.01644975  28.30318749
   20.45221467 -40.34701463 -45.7254711  -69.57911802 -50.13552383
   31.68005899 -20.08504796  24.61434987  37.92951167 -54.95949958]]",0.3727573850471263,0.6272426149528737
53114222.13458121,"[[-33.45597912 -30.24697014  53.21413727 -39.44884966  60.22701551
  -22.64135721 -29.2521647   23.77089878   0.28296847  -3.22423402
  -70.33697218  25.36581334 -33.46626109 -63.18093829  76.24617916
   55.90976411  92.21354229  27.72502999  18.22696818 -66.26558526
   27.4513903  -18.30021441 -19.04358802  47.47839229 -79.3312624
  -70.30187084  34.21619991 -70.56006344 -24.33085316  11.54388078
  -23.96185612 -17.83255377  16.22457418  22.66758747 -17.03037969
    5.9332619   -1.96651213  21.04504295 -60.67826938 -47.44522561
   44.41943225 -35.95366006  19.13435311 -69.22539906 -26.80603467
   38.69911654 -11.24816379  32.99966174  28.10673046  -8.71527224]]",0.7069011825186842,0.293098817481316
46154035.92851648,"[[-39.43865478 -13.25143642 -32.07937274  47.30760049   9.05253145
  -32.11934762  36.43519199  28.30344805   8.17846987   2.4992718
  -27.39660255  31.01316314  47.91536567 -55.56055814  51.88045212
   30.74874069 -14.5554736   34.44465027  14.90286396  -4.8956468
   20.84394444 -20.0304933  -36.24618036  30.19259787  22.39523438
  -31.42308342 -29.01985675  56.09743583  32.32758247 -15.09557575
   -0.49933264  31.60040947  44.56108868 -38.032908    -7.7967919
   29.31717031 -31.77667463  16.87652234 -31.73178294  13.12419906
   62.95268402  14.11753648 -48.48835658 -62.87623267 -42.40522976
   15.43755214 -47.5324211   -1.91555873 -43.11812797  -5.04737842]]",0.7596018429734127,0.24039815702658732
31304993.697938003,"[[-11.6991088  -29.79306483  28.12466639 -27.20199706  26.31045698
    9.78848757  52.62802018  52.76998507   9.6174783   53.12899671
   58.05046908  55.01217067 -14.85505506  20.38505684  74.57696013
    6.71016686   6.10097242  11.65177486  29.99697561  18.53511786
   10.5473403   43.04627694 -10.13450708   6.170472   -20.30440668
   29.94820548  -0.87431284 -17.82361753 -22.30065179  49.29351201
   35.34572754  33.83226455   0.10598081 -10.19096014  17.23098476
   -5.71142998 -12.64493025  23.94319463   9.41190739 -25.69147313
   50.71534804  -9.35822087  -4.84737995 -57.03872708 -64.40394169
   52.7290635   27.42912687 -25.87370178  37.5225086   12.64193674]]",0.6030377343047995,0.39696226569520054
32797679.84186836,"[[ 49.34913059 -57.66092042 -10.70461499 -22.68657837 -23.44455749
  -36.76576104  23.45224075  -6.94484306  16.35244999  34.72093703
   59.25511153 -19.97745099  61.44494915 -50.32399432  -2.9055249
  -25.93918716  -4.77048424   8.58455954   2.8043414    4.65603999
  -10.0252429  -30.39005443 -63.43213744  -5.17642058  23.89899096
   49.79799706 -16.67167253 -76.07748468  44.0250817   13.75131041
   11.09709802 -26.14107938  -2.171296    26.26714135  23.95839056
   34.9292688   39.06381237  61.75211176  -5.16613389   8.25675889
   55.09001644 -77.94346539 -23.21890049 -50.04637934 -73.2323575
   28.10184455 -18.42213726 -12.1983994   -0.14701705  38.79713748]]",0.7644187616661139,0.23558123833388617
58019834.946984224,"[[ 21.29004289   6.77983735  -4.77976839  36.82876847  34.77540665
  -41.69713337  47.3217114  -17.60437367  28.54669345  20.96356869
  -18.64336559  16.53959841 -15.88996885 -24.47019339  29.51468396
   26.0388144   -3.61949727  24.86425719  -8.28184784  62.53053814
  -38.09372122  32.16860816  20.32268784  71.02574054 -46.22366427
   12.22443014 -18.46809366 -24.22936402   8.09695805 -78.62124096
  -23.44630342  -7.84613625  27.62532608   0.72262568   8.35201902
   -3.88316302  -2.34132874 -23.95522651  82.0754096  -28.75985897
   45.72765967 -15.93905678  -6.98226733 -55.79162274 -34.27537484
   42.9769619    8.97245027  51.31561686 -30.22398494 -29.41817606]]",0.6546654462825581,0.3453345537174421
27498793.496310703,"[[-16.70211434 -46.03946548  38.51622947  86.33578063  16.12247873
   17.51276821  -4.52732474  15.10284152   1.91558906 -46.02722562
   43.92975799 -29.40929732  18.48950657  47.8181805   19.87379346
   75.66608244 -12.70940817  16.3829078    4.44913909 -35.10059639
   20.62535266 -16.4585126   -1.73582283 -16.21536237 -20.059777
  -19.51673843 -22.21545382  52.57016998   4.16726618  52.07831793
   15.69421433 -42.85997805  14.77926649  26.59733681  14.88920347
  -44.76729071 -39.79467283   8.70337335  15.02604464 -30.06113236
   37.06077403 -45.21804113 -16.23401255 -77.5313125  -58.40120177
   14.97851991   1.3822881   21.4610626    5.61347981  -5.24606161]]",0.5619715824849469,0.43802841751505306
